address,collection_id,balance,AGIX
0xdf0e9cf1feced2fdd90d77cd8261ab242f24ee89,321,101693037509891,"1,016,930.37509891"
0xcd5a2f58868a21a254266381d4963d996e708d6c,321,101693037509891,"1,016,930.37509891"
0x28bf1e96b6d082878ef0c4722701ec0e65d2eeb8,321,101693037509891,"1,016,930.37509891"
addr1qxklzn8qlw5t8v6z4wnet96hukqmdslpcqst56e77q9vrw0q39alm6hdxjaqt0ya3d9nl7age9pl0ndv0mc2cx8qpxnqwc4hks,321,39191938955916,"391,919.38955916"
0xb5f98526f9be330b9d4fb2ece099c9b5f88094f9,321,100633050338874,"1,006,330.50338874"
0xf8c606df3f6fb3222fc43078d3fb91a3d0f9ac20,321,100633050338874,"1,006,330.50338874"
0x3b88c04dc45ddec0eed29735c6ef994231ef5547,321,100633050338874,"1,006,330.50338874"
0xfa675fddc92a8e88db221b52e8eab4121e36116b,321,100631943375320,"1,006,319.43375320"
0x834d60f931eddee4a33dde80d29368d027f45b9d,321,100633050338874,"1,006,330.50338874"
0x2cf7b83d5b90e1cce282d8c0700a8015a156cc9d,321,100517097721150,"1,005,170.97721150"
0x121a61d39042516d380ebedf4ac87182a6991915,321,100517097721150,"1,005,170.97721150"
0xcac597460fbcf36ab40c5299a03d83af012f0237,321,100517097721150,"1,005,170.97721150"
0x451cc6d2ae61f03d6778d72885fa1f48334a3c57,321,100517097721150,"1,005,170.97721150"
0xbdcfe74d1f895e30ceef90e87f73f1f52c202e06,321,100408253588256,"1,004,082.53588256"
0xd80323167bd37568ed324825dc07962d5eeebab7,321,100408253588256,"1,004,082.53588256"
0x5a3569cabc6a105f8ba79c786c0d113ce4f09d44,321,100408253588256,"1,004,082.53588256"
0xb0b3c46a7db162ceb03c6605b56540d756c581eb,361,950000000000,"9,500.00000000"
addr1q8edl8dxksp5yzpe53uqtrwpyhhc8eakfnmqa6yna78fc844y2ut7wwmw05uwm793lzgcgyanzkgqgzjrkm44v0pc3hsa9m59g,361,129100000179,"1,291.00000179"
0x2059e8f5cdf89a4f17546a517eefe5d577ab78cb,371,62636162046964,"626,361.62046964"
addr1qy66z48fx8wp9hnpjfmx0ttfhmjzhxtz074737v3x9s4m6m3l9nf2438ls8ctlpzfka0p8gpydrnmrdhts0nqs5fnnls6q4e6j,429,1745895103,17.45895103
addr1q9szduxljgg6wf6znp8yflhft4ynea5vyua9j0j2pme2q9stl9nmh3y2rclc0xkm3s6x6p2un2cmv70pjvpyhywqp38sd30z25,430,0,0.00000000
addr1q9yq3dr30khnqujg9pswxy4wk8fpt4gp350tm7c7dnse2ucsu0xzrrq5d2wh5jt4rtyg52ezxqjmeg2qfax5mwltw9vs40u639,430,33700000000,337.00000000
addr1q988jrt0jtk57s329fhzgk9t4ehp90ymm8l48s56w75wmj44uvkvglyeqsz4feu0uv9sf8ey58se5jn93q704jla4euqv47fgt,430,0,0.00000000
0x3e580e2a575dde9c9af02f1015076c971a188e7b,430,0,0.00000000
addr1q8xk3u7hsmget32ym732d3slucapz48wh8e2lysvs7rw65e7mgjydnrvvc8gl9qagcl5lrn3nq9u85dd40uktvcf3geqc95tmr,433,125112993682,"1,251.12993682"
addr1q8x8afrkfv5x87lek6r2w6ly8cme52tcxkv2v9sqa02tw94c9w5yvk8rureqfd95cpj9wktcxtkejm2c0uvxtqxcqr7q7xcueh,438,680436000000,"6,804.36000000"
0x47779c5f876054bea1e755414b49f611b0aed649,586,0,0.00000000
addr1qx09fw2h957vtzg055rpq4nwv7mmd5pvxcfrysla97skjvdrnh2eke0a6qfen4h8xrrrhkprn799cr0h68vt8j4tzh3q4sw3r2,586,426729049,4.26729049
addr1q9wjajv77l4yu7pmzu6yw335khfsmrmze4yquhsjd0ymum5k6675fsjfnjnpynrjasstdhgpcll3gq6jsvw2p9t554ss6lcdjr,666,0,0.00000000
0xcc0ba1d1e74f629d9d2d1fc48191954b520ff733,669,52468000000,524.68000000
addr1q8q9s6lphxv3ndv20s4jrtamunkkkm0ppqe282k2aj2dtlyq7zqcva0s9y5f6gy4cea4788r4r7lxc3mkaq0ml2fdvtq2z44ax,673,1751400000000,"17,514.00000000"
addr1q9a4zleraz34xsdhrgx5tp5z3kk67fc7td90wmwh57fwzyg7uujfflkhgdfge0qc7hsu57l4x5ldqqx8n2h4hphsu6eqpgxpw7,677,415730698296,"4,157.30698296"
addr1q9e0yrecttn5ahtfry48qaujeg4shwkuw36s7cc5nkphnym72sj2645rhaef7dyr7w9lfkfeyp79q38a452xtd8d3f5sws80nv,678,3044000000000,"30,440.00000000"
